image_id,image_category,aspect_ratio,camera_make,camera_model,iso,aperture_value,focal_length,exposure_time,total_days,stats_downloads
9ec27d2e3a,Featured,0.67,CANON,Canon EOS 5D Mark IV,100.0,9.0,50.0,0.00625,1116,4314
db0a16b3c5,Featured,1.03,NIKON,NIKON D7000,5000.0,2.2,35.0,13.0,1294,2397
ded4ed4a70,Featured,1.5,CANON,Canon EOS 6D,500.0,3.5,28.0,0.01,1445,3911
87aa4db7c7,Featured,1.5,CANON,Canon EOS 6D,100.0,7.1,50.0,0.004,2552,18441
2b6617a452,Featured,1.5,CANON,Canon EOS 6D,100.0,1.8,50.0,0.002,1523,2843
264b0ce41e,Featured,0.67,CANON,Canon EOS 700D,100.0,3.5,18.0,0.002,1891,98275
f05eaf3482,Featured,1.2,NIKON,NIKON D800,100.0,1.8,50.0,0.002,1509,3716
819145ec7c,Featured,0.67,NIKON,NIKON D750,800.0,2.8,70.0,0.01,1236,6763
3cffdc0ff1,Featured,0.67,CANON,Canon EOS 5D,100.0,4.0,24.0,0.0025,1529,4746
9cc9b8152d,Featured,0.67,SONY,ILCE-7RM3,320.0,5.0,84.0,0.0008,1284,7988
cc753a2548,Featured,0.67,FUJIFILM,X-T10,400.0,2.8,27.0,0.007142857142857143,1580,4736
42df9f0767,Featured,0.67,CANON,Canon EOS 6D,100.0,3.2,135.0,0.0025,1181,2590
944486abd2,Featured,0.67,NIKON,NIKON D610,160.0,5.6,200.0,0.0025,1428,4034
7de9df1e38,Featured,1.5,NIKON,NIKON D3100,400.0,1.8,50.0,0.004,2117,13622
c1553ef3da,Featured,1.53,SONY,ILCE-7M2,400.0,5.6,35.0,0.0015625,1367,2756
9d053171be,Featured,1.5,NIKON,NIKON D3200,100.0,5.6,105.0,0.0015625,1555,3231
0260e4cac9,Featured,0.67,CANON,Canon EOS 6D,250.0,4.0,105.0,0.004,1553,3271
e41a61b373,Featured,1.5,CANON,Canon EOS 1200D,200.0,2.8,40.0,0.008,1527,1804
f4046245cc,Featured,1.5,CANON,Canon EOS 400D DIGITAL,400.0,18.0,30.0,0.0025,2782,16258
9ad60b0fc4,Featured,0.67,FUJIFILM,X-Pro2,100.0,4.0,56.0,0.001,997,944
a87f9e7b73,Featured,1.5,CANON,Canon EOS 700D,100.0,4.5,10.0,0.01,1507,2544
b2eebb0b09,Featured,1.5,NIKON,NIKON D750,400.0,3.5,18.0,0.001,1243,1858
518247c096,Featured,1.5,ZENIT,11,200.0,2.0,35.0,500.0,1564,2586
ab891cba0b,Featured,0.67,NIKON,NIKON D5200,100.0,1.8,35.0,0.0008,1019,1715
1c32cbc47e,Featured,1.53,NIKON,NIKON D750,400.0,16.0,35.0,0.0013333333333333333,1542,4391
42cf8a4a62,Featured,0.67,HASSELBLAD,L1D-20c,100.0,2.8,10.3,0.00625,1018,2320
3a5de68f00,Featured,0.67,NIKON,NIKON D810,31.0,2.8,24.0,0.00125,1186,1324
b91d7df4f8,Featured,0.75,APPLE,iPhone 11 Pro,250.0,2.0,6.0,0.00819672131147541,1198,1357
b2d66fd82a,Featured,1.4,CANON,Canon PowerShot SX60 HS,100.0,5.6,60.0,0.0025,1212,1689
ababc15b1f,Featured,1.33,NIKON,NIKON Z 6,1600.0,2.5,50.0,0.004,1437,10165
05055902fb,Featured,0.67,CANON,Canon EOS 6D,100.0,11.0,50.0,0.016666666666666666,1398,2699
0e3e7a3bba,Featured,0.78,GOOGLE,Pixel 3,88.0,1.8,4.4,0.025,1179,1597
53199109f2,Featured,1.33,OLYMPUS,E-M10MarkII,200.0,2.8,60.0,0.025,1969,4117
992569d48e,Featured,1.33,DJI,FC330,100.0,2.8,3.6,0.001,1543,19215
cf082ea046,Not Featured,1.4,PANASONIC,DMC-GX7,200.0,5.6,130.0,0.0025,2772,846
40b68a5b1f,Featured,0.7099999999999999,NIKON,NIKON D5100,200.0,2.5,35.0,0.016666666666666666,1182,1245
83b6ab306b,Featured,1.78,SONY,NEX-7,100.0,9.0,100.0,0.01,1120,1685
169806994e,Featured,1.5,NIKON,NIKON D810,500.0,4.0,55.0,0.0015625,2383,11939
ee912ab166,Featured,1.5,CANON,Canon EOS 70D,2000.0,6.3,60.0,0.0125,2792,3891
ee30288926,Featured,1.56,DJI,FC220,400.0,2.2,4.7,0.0125,1571,2789
d4b11681f1,Featured,0.67,CANON,Canon EOS 6D,1600.0,2.8,20.0,30.0,1377,8128
af4c082c8d,Featured,1.5,NIKON,NIKON D810,400.0,2.5,50.0,0.008,2564,8743
a560d9f577,Featured,1.5,CANON,Canon EOS Rebel T7i,3200.0,8.0,50.0,4.0,1576,3773
73f4dcf0f0,Featured,0.75,PANASONIC,DC-GX9,200.0,1.7,43.0,0.00125,1012,2273
2d8d293357,Featured,1.5,SONY,ILCE-7RM3,100.0,1.8,85.0,0.00025,1165,1389
c06706614d,Featured,1.5,NIKON,NIKON D4,1000.0,5.6,14.0,0.0004,2402,29447
bb1d151abe,Featured,0.67,HASSELBLAD,L1D-20c,100.0,11.0,10.3,0.07692307692307693,1437,22070
bfbad1d3da,Featured,1.5,SONY,ILCE-7M3,320.0,9.0,17.0,0.000125,1159,1667
8ec99fa974,Featured,0.75,RICOH,PENTAX 645Z,400.0,2.8,55.0,0.005,1512,4907
0917d24815,Featured,0.8399999999999999,NIKON,NIKON D5500,100.0,5.6,18.0,0.02,1207,1370
2dcc6980cd,Featured,1.5,PANASONIC,DMC-GF8,200.0,4.0,14.0,0.002,1480,1152
c5cebe3203,Featured,1.51,CANON,Canon EOS 5D Mark III,160.0,3.5,70.0,0.00625,1454,1050
f21241d8ec,Featured,1.5,CANON,Canon EOS 5D Mark III,1000.0,2.8,55.0,0.003125,1348,1570
2a86a5fb01,Featured,0.67,CANON,Canon EOS 80D,100.0,1.4,50.0,0.003125,1378,2680
365b80157c,Featured,1.5,SONY,NEX-5R,100.0,9.0,42.0,0.005,2393,75792
d5d68a2bcd,Featured,1.5,HASSELBLAD,L1D-20c,200.0,2.8,10.3,0.03333333333333333,1244,1226
9064c80e27,Featured,1.5,SONY,ILCE-7,800.0,4.5,40.0,0.00625,1385,1469
92bb17fa26,Featured,0.75,APPLE,iPhone 8 Plus,400.0,2.8,6.6,0.008333333333333333,1217,1654
93004eb039,Featured,0.67,CANON,Canon EOS 6D Mark II,100.0,2.8,24.0,0.000625,996,2636
661c4b6044,Featured,1.51,NIKON,NIKON D7000,250.0,8.0,40.0,0.00125,2970,84367
3b733e76de,Featured,1.5,CANON,Canon EOS 5D Mark IV,1600.0,5.0,50.0,0.003125,2032,21030
f557d97a97,Featured,1.49,NIKON,NIKON D60,200.0,5.6,200.0,0.002,2635,5710
650060f31c,Featured,1.33,PANASONIC,DMC-G80,400.0,2.8,45.0,0.000625,1230,2423
4c821a5b01,Featured,0.76,PENTAX,PENTAX K-x,100.0,5.6,35.0,0.002,1934,2921
8125b53d2f,Featured,1.5,SONY,ILCE-7RM3,1000.0,2.8,35.0,0.04,1585,4447
345186012f,Featured,0.67,CANON,Canon EOS 6D,125.0,2.5,50.0,0.0005,1572,4285
159150030f,Featured,0.8,CANON,Canon EOS 80D,100.0,2.8,100.0,0.008,1476,1413
242c3a7ddb,Featured,1.5,APPLE,iPhone 6,32.0,2.2,4.2,0.00027800945232137893,2770,5767
2371fe5652,Featured,0.67,NIKON,NIKON Z 6,800.0,22.0,38.0,0.0125,1158,963
ff3085014f,Featured,0.8,FUJIFILM,X-T2,250.0,3.6,34.3,0.016666666666666666,1525,4168
1fee3d7828,Featured,0.67,FUJIFILM,X-T3,640.0,6.4,90.0,0.005,1229,9571
e96574e005,Featured,1.5,CANON,Canon EOS 6D,100.0,13.0,24.0,0.03333333333333333,2896,90160
b7ba153231,Featured,0.67,FUJIFILM,X-A2,500.0,8.0,50.0,0.007142857142857143,1455,1121
27232aa8d6,Featured,1.34,OLYMPUS,E-M5,200.0,2.0,45.0,0.00125,1166,1046
9536c22701,Featured,1.5,NIKON,NIKON D810,64.0,11.0,70.0,0.008,2497,114040
f4e411c3cc,Featured,0.67,CANON,Canon EOS 600D,1600.0,4.5,125.0,0.0008,1548,14694
4acee3c598,Featured,1.5,CANON,Canon EOS Rebel T6i,100.0,2.8,100.0,0.00025,1584,23750
43e25ac812,Featured,0.67,CANON,Canon EOS 6D,100.0,3.5,24.0,0.016666666666666666,1301,1930
41b3cdd99e,Featured,0.67,CANON,Canon EOS 70D,320.0,9.0,50.0,0.004,1521,80009
f372855937,Featured,1.46,NIKON,NIKON D750,800.0,3.0,90.0,0.003125,1918,7888
d2b216424e,Featured,1.5,SONY,ILCE-7M3,1000.0,2.8,75.0,0.0008,1034,1635
2dae3cb3eb,Featured,1.33,DJI,FC220,100.0,2.2,4.7,0.001,1587,53239
8331f5c647,Featured,0.75,APPLE,iPhone 7,32.0,1.8,4.0,0.04,1027,1205
1d3f13ef08,Featured,0.67,CANON,Canon EOS 5D Mark IV,100.0,2.8,67.0,0.016666666666666666,1141,399
88bc817dae,Featured,0.67,NIKON,Z6,400.0,2.8,70.0,0.00025,1149,822
bf0d4b7709,Featured,0.67,CANON,Canon EOS 600D,100.0,2.8,50.0,0.0015625,1022,1562
80143c9075,Featured,1.5,OLYMPUS,E-M1,200.0,2.8,40.0,0.004,2411,18006
4b4c10bcdd,Featured,1.5,CANON,Canon EOS 5DS,1600.0,4.0,24.0,0.0015625,1286,1472
4f0452e2db,Featured,0.62,SONY,ILCE-7M3,125.0,1.4,85.0,0.002,1424,2737
b4c18017f4,Featured,1.5,FUJIFILM,X-T1,200.0,4.7,49.4,0.002,2390,31402
48c725be23,Featured,0.8,CANON,Canon EOS 80D,100.0,2.8,70.0,0.00025,1293,12966
69152e1cbd,Featured,1.51,NIKON,NIKON D40,800.0,5.6,85.0,0.016666666666666666,1940,1639
b4ba35019f,Featured,1.75,CANON,Canon EOS REBEL T5,400.0,4.5,37.0,0.0025,1378,2353
4b66b55a3c,Featured,1.5,SONY,ILCE-7RM2,100.0,9.0,70.0,0.016666666666666666,1264,1482
24fa90bcaa,Featured,1.5,SONY,ILCE-7RM3,800.0,9.0,68.0,0.0025,1490,4349
31a0f78bb4,Featured,1.5,CANON,Canon EOS 5D Mark IV,250.0,2.8,200.0,0.0008,1104,8107
48c49ad44f,Featured,0.66,NIKON,NIKON D90,250.0,6.3,122.0,0.008,1496,2466
2e5970b9d6,Featured,0.67,CANON,Canon EOS-1D X Mark II,100.0,2.8,70.0,0.000625,1409,414
c73cb193c8,Featured,0.67,NIKON,NIKON D3000,1600.0,2.8,50.0,0.0025,1402,3379
b912cab23a,Featured,1.33,DJI,FC1102,101.0,2.6,4.5,0.0005,1161,1348
aea47f654f,Featured,1.5,CANON,Canon EOS 5D Mark III,200.0,2.0,50.0,0.008,1088,1346
e929155c35,Featured,0.67,CANON,Canon EOS 7D,800.0,2.5,50.0,0.00625,1516,3732
40a6d09987,Featured,0.8,CANON,Canon EOS Rebel T6,100.0,8.0,55.0,0.004,1327,566
f7f899d4f6,Featured,1.5,CANON,Canon EOS Rebel T7i,400.0,1.8,50.0,0.0005,1540,7757
6b912be3d8,Featured,1.5,CANON,Canon EOS 7D,100.0,10.0,30.0,0.00625,2413,47476
279ca6fffa,Featured,0.67,NIKON,NIKON D850,200.0,1.8,14.0,25.0,1463,2479
a7d8f241c3,Featured,2.0,PANASONIC,DMC-GF2,100.0,8.0,14.0,0.002,2407,28155
9a0567a582,Featured,0.75,APPLE,iPhone 6s,25.0,2.2,4.2,0.0007407407407407407,1506,786
f9eb3d789d,Featured,0.67,NIKON,NIKON Z 6,100.0,1.4,24.0,0.0004,1051,2765
76d4cefa33,Featured,1.54,NIKON,NIKON D5100,6400.0,8.0,55.0,0.0004,2361,39404
9f14a1daf9,Featured,0.65,SONY,ILCE-6300,100.0,1.8,50.0,0.00125,1135,570
e2a170bb65,Featured,1.5,NIKON,COOLPIX AW120,125.0,2.8,4.3,0.008,1558,3125
55c6596f59,Featured,0.67,HASSELBLAD,L1D-20c,100.0,4.0,10.3,0.008333333333333333,1494,16986
5d6c69a0f9,Featured,0.67,CANON,Canon EOS 5D Mark IV,100.0,1.4,50.0,0.00025,1502,17909
333749b8de,Featured,0.75,GOOGLE,Redmi Note 5,54.0,1.9,3.9,0.0022727272727272726,1335,764
fa9eee25da,Featured,1.5,NIKON,NIKON D750,100.0,1.4,50.0,0.001,1079,799
0d4e05a55c,Featured,1.5,CANON,Canon EOS 77D,100.0,7.1,24.0,0.0015625,1015,2673
cf3376010d,Featured,1.5,FUJIFILM,X-T10,200.0,9.0,27.0,0.0004166666666666667,1447,2615
636eeeeb2a,Featured,1.5,SONY,SLT-A77V,125.0,5.6,135.0,0.004,2684,35646
0de8609643,Featured,1.5,NIKON,NIKON Z 6,100.0,7.1,500.0,0.0005,1017,1370
587ea57aad,Featured,1.5,CANON,Canon EOS 6D,200.0,2.8,200.0,0.000625,1450,5061
1a8e191c33,Featured,0.67,CANON,Canon EOS 6D,100.0,4.0,17.0,0.004,1187,1715
0a91633cca,Featured,1.62,CANON,Canon EOS 200D,100.0,2.5,50.0,0.001,1483,1969
a63e9920d6,Featured,1.33,NIKON,COOLPIX P520,90.0,4.6,35.6,0.002,1117,981
b7a9f557de,Featured,0.67,CANON,Canon EOS 6D,125.0,11.0,70.0,0.00625,1004,6931
69c188bb29,Featured,0.8,FUJIFILM,X-T20,1250.0,4.0,35.0,0.0025,1097,4055
1ef60302e6,Featured,0.67,CANON,Canon EOS 5D Mark III,160.0,16.0,16.0,0.8,1332,14961
1ef5a22999,Featured,0.67,NIKON,NIKON D5300,100.0,8.0,50.0,0.00625,1490,1564
92ef8ecd04,Featured,0.67,CANON,Canon EOS 600D,100.0,1.8,50.0,0.0015625,1045,12697
0b3d328922,Featured,0.5799999999999998,CANON,Canon EOS 5D Mark III,640.0,4.0,67.0,0.0005,2887,34298
f3fd6a677a,Featured,1.5,DJI,FC6310,100.0,2.8,8.8,0.5,1971,4371
5b75edbac8,Featured,1.5,GOOGLE,Pixel 2 XL,51.0,1.8,4.5,0.0013245033112582781,1476,1476
de83382d20,Featured,1.52,SONY,ILCE-7SM2,100.0,10.0,15.0,0.0125,1100,1841
600fb3e7a2,Featured,1.5,SONY,SLT-A58,3200.0,11.0,70.0,0.03333333333333333,1205,1768
4de0e147fb,Featured,0.66,NIKON,NIKON D7000,500.0,1.4,35.0,0.0008,2714,11126
d4f2737cbe,Featured,1.5,CANON,Canon EOS 5D Mark II,160.0,6.3,24.0,0.001,3043,4586
494691fd6c,Featured,0.67,NIKON,NIKON D5200,100.0,1.8,35.0,0.000625,1317,1121
8d40519bdf,Featured,1.5,SONY,ILCE-6400,100.0,4.0,16.0,0.00625,1006,2300
439efd246c,Featured,0.75,RICOH,PENTAX 645Z,400.0,6.7,120.0,0.008,1251,1121
4ab742c9da,Featured,1.5,NIKON,NIKON D750,1250.0,3.5,105.0,0.0025,1018,1598
76b82d9fa7,Featured,0.75,GOOGLE,Pixel 2 XL,180.0,1.8,4.5,0.02,1588,13222
997fa9fe5e,Featured,0.67,CANON,Canon EOS Rebel T6,400.0,1.8,50.0,0.0005,1474,1062
75875dcee2,Featured,1.5,PANASONIC,DMC-FZ1000,125.0,6.3,44.4,0.0005,1916,2015
ec4853c259,Featured,0.67,NIKON,NIKON D5600,640.0,4.0,90.0,0.004,1130,1653
f85c9c37d5,Featured,0.67,SONY,ILCE-7M3,1250.0,2.8,31.0,0.025,1236,10892
5287c22fdc,Featured,1.5,CANON,Canon EOS 5D Mark IV,6400.0,3.5,300.0,0.002,1051,2023
77a3c32b60,Featured,1.5,CANON,Canon EOS REBEL T3i,400.0,,50.0,0.0008,2774,5263
7a9cc76b02,Featured,0.67,SONY,ILCE-7M2,100.0,9.0,90.0,0.00625,1006,1159
9f9af29523,Featured,1.33,XIAOYI,YIAC 3,111.0,2.8,2.7,0.008333333333333333,1568,2728
fac7e68cbe,Featured,1.0,CANON,Canon EOS 5D Mark IV,100.0,20.0,85.0,0.005,1047,3918
2f76caaef4,Featured,1.5,CANON,Canon EOS 5D Mark III,160.0,8.0,126.0,0.008,1226,2781
4f43ac2bfb,Featured,0.67,SONY,ILCE-7RM3,800.0,5.6,46.0,0.004,1330,10981
2763aae0f1,Featured,1.5,CANON,Canon EOS 5D Mark IV,100.0,8.0,30.0,13.0,1136,2681
a499e9dec3,Featured,1.51,NIKON,NIKON D5100,100.0,10.0,35.0,0.00625,2867,12128
7c69d25189,Featured,1.5,CANON,Canon EOS 70D,800.0,1.8,50.0,0.000125,1457,1260
437fcaa87a,Featured,1.78,SONY,NEX-7,100.0,16.0,107.0,0.01,1496,1058
5f3a729fc5,Featured,0.75,HUAWEI,ANE-LX1,50.0,2.2,3.8,0.0017241379310344827,1407,698
13d907ce1f,Featured,0.67,NIKON,NIKON D5300,160.0,9.5,50.0,0.008,1238,1030
43c3a0189b,Featured,1.43,CANON,Canon EOS 5D Mark II,320.0,2.0,35.0,0.005,1404,1214
587658e59f,Featured,1.5,CANON,Canon EOS 100D,100.0,13.0,18.0,0.00625,2780,6867
a18572ef30,Featured,0.94,CANON,Canon EOS 7D Mark II,640.0,5.6,400.0,0.00125,1245,4420
5f1eadaba6,Featured,0.67,CANON,Canon EOS 5D Mark II,200.0,2.5,50.0,0.008,1523,2957
ebde9a9388,Featured,0.67,CANON,Canon EOS 5D Mark IV,125.0,1.4,50.0,0.0003125,1125,765
bf9a8fd591,Featured,1.51,NIKON,NIKON D300,800.0,9.5,500.0,0.002857142857142857,1326,1227
730e47badd,Featured,0.67,SONY,ILCA-77M2,100.0,4.5,50.0,0.004,1019,1012
c2aacb9b3f,Featured,1.5,SONY,ILCE-7RM3,200.0,2.8,35.0,0.0008,1510,29053
502650acd7,Featured,0.66,NIKON,NIKON D5100,100.0,5.0,35.0,35.0,2882,160115
ae99af7545,Featured,0.56,SONY,ILCE-6300,100.0,8.0,70.0,0.011111111111111112,1486,39940
0da04b71b4,Featured,1.5,NIKON,NIKON D5300,125.0,9.5,50.0,0.008,1404,2765
b4c20b8de3,Featured,1.5,CANON,Canon EOS 60D,100.0,4.5,34.0,0.002,2725,5913
9fe0786506,Featured,0.67,NIKON,NIKON D5300,200.0,7.1,35.0,0.004,1152,2650
f982423753,Featured,1.5,CANON,Canon EOS 1200D,100.0,5.6,55.0,1.0,1246,2453
4440f11e87,Featured,1.5,SONY,ILCE-7RM3,100.0,2.8,40.0,0.004,1146,2178
8c55db6699,Featured,0.7099999999999999,CANON,Canon EOS 5D Mark IV,100.0,11.0,16.0,0.07692307692307693,1179,1838
61f9762fc4,Featured,0.8,CANON,Canon EOS 80D,500.0,5.6,250.0,0.008,1541,1794
6a12bfb180,Featured,1.5,RICOH,PENTAX K-3 II,200.0,16.0,15.0,0.016666666666666666,2766,12486
51803263fc,Featured,1.78,CANON,Canon EOS 5D Mark IV,250.0,1.4,50.0,0.0003125,1529,1845
c4b947bdbc,Featured,1.5,CANON,Canon EOS 6D Mark II,100.0,2.8,50.0,0.003125,1539,8648
b322b9e9d0,Featured,1.5,SONY,ILCE-6500,200.0,6.3,70.0,0.0003125,1886,6639
87b16d730b,Featured,0.67,SONY,ILCE-7RM2,100.0,2.8,50.0,0.002,1264,2441
6bb6074e82,Featured,1.5,NIKON,NIKON D600,100.0,1.8,35.0,0.004,3032,101020
7a3217d490,Featured,1.5,CANON,Canon EOS R,125.0,2.8,50.0,0.008,1552,1612
8a5cd92c28,Featured,1.5,CANON,Canon EOS 6D,3200.0,4.0,35.0,0.001,1157,1958
72f9ced1cb,Featured,0.67,CANON,Canon EOS 70D,100.0,2.8,50.0,0.0004,1206,1991
a462152f6a,Featured,1.5,CANON,Canon EOS 5D Mark III,100.0,2.2,50.0,0.008,1510,4560
c8caecf5ff,Featured,1.5,APPLE,iPhone X,125.0,1.8,4.0,0.25,1227,2803
8f28373f17,Featured,1.5,CANON,Canon EOS Rebel T6,3200.0,3.5,18.0,30.0,1274,1625
84109c28ec,Featured,1.33,APPLE,iPhone 6s,25.0,2.2,4.2,0.001379310344827586,2539,8161
02ce76063e,Featured,1.5,CANON,Canon EOS 6D,160.0,3.2,135.0,0.0015625,2185,33396
bd48376829,Featured,0.8,SONY,ILCE-7M3,100.0,4.0,105.0,0.0003125,1386,476
b6e8137a09,Featured,0.67,NIKON,NIKON D3000,200.0,9.0,55.0,0.008,1195,1502
ab01cbbf9c,Featured,1.5,FUJIFILM,X-H1,250.0,14.0,26.6,0.0015625,1138,1408
b08e6fb8c1,Featured,1.5,NIKON,NIKON D3300,100.0,5.6,55.0,0.005,2898,36009
3cb13a3d45,Featured,0.75,PANASONIC,DC-GH5,200.0,4.0,28.0,0.005,1147,784
61dda4ab71,Featured,0.67,SONY,ILCE-7M2,100.0,11.0,35.0,30.0,1476,1233
6778ccd39d,Featured,1.5,FUJIFILM,X-E2,200.0,1.4,35.0,0.01818181818181818,2985,5184
e0f1d34cc5,Featured,0.67,CANON,Canon EOS 5D Mark III,160.0,2.8,135.0,0.004,1153,876
afbcc06a93,Featured,1.51,PENTAX,PENTAX K-5,80.0,5.6,10.0,0.008,1201,6965
4fe96c3eff,Featured,0.67,SONY,ILCE-7R,100.0,2.8,85.0,0.00625,1472,6117
88ec22c4b4,Featured,0.67,SONY,ILCE-7M2,160.0,5.6,29.0,0.0025,1029,1363
b107432da1,Featured,1.5,SONY,ILCE-7M3,1000.0,2.8,28.0,0.0008,1316,1999
0503cc2d42,Featured,0.67,NIKON,NIKON D5300,250.0,5.6,105.0,0.002,1906,14588
bf414f6af5,Featured,1.5,NIKON,NIKON D750,200.0,4.0,85.0,5.0,1544,3397
be39a0b763,Featured,1.5,NIKON,NIKON D750,100.0,1.6,35.0,0.0005,1439,6684
05aedcdd53,Featured,0.8,CANON,Canon EOS M50,100.0,2.8,35.0,0.003125,1473,925
5ec3d25656,Featured,0.8,SONY,ILCE-7M2,1600.0,2.8,75.0,0.005,1228,771
6da10d956e,Featured,1.21,OLYMPUS,E-M1,3200.0,5.0,40.0,0.01,1506,5926
e05a41dfa6,Featured,1.5,SONY,ILCE-7M3,125.0,5.6,16.0,0.0015625,1137,1302
3c11cfa357,Featured,1.51,NIKON,NIKON D7500,100.0,5.6,500.0,0.0015625,1437,1789
d965a381dd,Featured,1.5,CANON,Canon EOS 5D Mark II,100.0,4.0,50.0,0.002857142857142857,2394,120392
f9f29aa5dc,Featured,1.33,APPLE,iPhone 6,32.0,2.2,4.2,0.00032797638570022957,2840,26359
af76ab2a98,Featured,0.67,CANON,Canon EOS 9000D,1600.0,5.6,152.0,0.008,1335,6548
ecc917d597,Featured,0.67,CANON,Canon EOS 5D Mark IV,800.0,2.0,35.0,0.008,1348,3594
13525c7588,Featured,0.67,CANON,Canon EOS 5D Mark IV,100.0,2.8,24.0,0.004,1482,604
ab7838f355,Featured,0.67,CANON,Canon EOS 5D Mark II,3200.0,5.6,400.0,0.016666666666666666,1265,5689
2c223ec49e,Featured,1.65,SONY,ILCE-6000,100.0,16.0,17.0,0.04,2694,35443
3aaf5a36f6,Featured,0.67,NIKON,NIKON D300S,200.0,4.0,12.0,0.0004,1384,1163
3cd42a6766,Featured,1.5,SONY,ILCE-6300,320.0,11.0,16.0,0.016666666666666666,1570,139907
e078c69462,Featured,0.67,SONY,ILCE-7RM2,100.0,2.8,17.0,0.0002,1018,7667
a5fda29a1b,Featured,1.5,CANON,Canon EOS 6D,250.0,1.4,50.0,0.002,1034,2932
11e8f6f6fc,Featured,1.5,CANON,Canon EOS 5D Mark III,1250.0,4.0,24.0,32.0,2754,34784
bba5181873,Featured,1.5,FUJIFILM,X100T,6400.0,11.0,23.0,0.000625,1395,2256
965ed5e088,Featured,1.5,SONY,A7R III,100.0,1.5,50.0,0.004,1382,5858
3a43da8fbf,Featured,1.78,FUJIFILM,x-t100,800.0,2.0,18.0,15.0,1285,3702
7748ea5fd7,Featured,0.67,SONY,ILCE-6000,100.0,11.0,350.0,0.0008,1115,1986
2e3ee34718,Featured,0.67,CANON,Canon EOS 200D,100.0,1.8,50.0,0.002,1284,2276
85e502bede,Featured,1.67,APPLE,iPhone 8 Plus,100.0,1.8,4.0,0.2,1758,1657
462824f8fc,Featured,0.56,NIKON,NIKON D3400,800.0,9.0,98.0,0.001,1312,1155
824c1bd015,Featured,1.5,CANON,Canon EOS 1100D,100.0,6.3,32.0,0.008,3051,30480
439b607ce1,Featured,0.67,NIKON,NIKON D7100,160.0,5.3,105.0,0.003125,1573,1699
8fec4ef5af,Featured,1.5,CANON,Canon EOS 5D Mark III,100.0,3.2,50.0,0.001,1421,2669
5694238284,Featured,0.76,SONY,ILCE-7RM2,320.0,2.8,15.0,0.0125,1082,10245
65de0aea35,Featured,0.67,CANON,Canon EOS REBEL T3i,100.0,1.8,50.0,0.0015625,1303,1356
ffeeaad771,Featured,0.67,NIKON,NIKON D5200,400.0,5.6,28.0,0.005,1205,722
074399e74c,Featured,0.67,SONY,ILCE-7M3,1250.0,13.0,35.0,0.004,1311,737
